231	anti b	-0.45	-41.28	-47.04	62.7254
232	b	1.2	-24.64	-40.8	47.8611
232	anti b	6.8	-52.36	-10.2	53.9381
233	W 	-40.92	45.75	-29.58	105.373
233	anti W	-25.08	15.25	-57.42	103.051
234	Z 	-82.8	-10.92	-12.4	124.276
234	anti Z	-7.2	-2.08	-49.6	104.077
235	b	2.52	-7.92	-4.62	10.3872
235	anti b	0.48	-91.08	-16.38	92.6368
236	b	23.76	-12.22	-53.9	60.3038
236	anti b	42.24	-34.78	-1.1	54.8867
237	b	-8	-88.11	-19.98	90.7967
237	anti b	-42	-0.89	-54.02	68.5596
238	b	-21.08	0.2	-71.28	74.4494
238	anti b	-12.92	4.8	-16.72	22.068
239	b	9.6	0.68	-0.7	10.5159
239	anti b	0.4	16.32	-69.3	71.3195
240	W 	27.84	41.82	-13.32	95.7201
240	anti W	68.16	40.18	-22.68	115.046
241	b	-18.33	8.1	15.47	25.6592
241	anti b	-28.67	36.9	1.53	46.9403
242	b	-27.84	-39.01	-8.74	48.8948
242	anti b	-1.16	-7.99	-37.26	38.3532
243	b	-59.28	-24.94	-3.8	64.5603
243	anti b	-18.72	-18.06	-6.2	27.065
244	W 	16.9	10.8	17.94	84.7646
244	anti W	48.1	61.2	60.06	126.993
245	T 	14.57	-0	-23.2	27.4532
245	anti T	16.43	-77	-34.8	86.0996
246	b	37.83	39.96	-4.34	55.3554
246	anti b	59.17	34.04	-9.66	69.0695
247	b	-33.54	25.85	-9.1	43.5136
247	anti b	-9.46	21.15	-60.9	65.2924
248	b	15.96	77.9	-24.6	83.3413
248	anti b	5.04	4.1	-35.4	36.2332
249	b	-39.69	9.28	19.09	45.203
249	anti b	-9.31	22.72	3.91	25.2118
250	b	48.96	6.72	-23.04	54.686
250	anti b	47.04	89.28	-12.96	101.829
251	b	-16.64	-66.64	-63.99	93.9679
251	anti b	-15.36	-1.36	-17.01	23.3365
252	T 	17.42	4.8	-14.2	23.0497
252	anti T	8.58	5.2	-56.8	57.7066
253	W 	11.02	17.7	11.96	83.8971
253	anti W	7.98	41.3	80.04	120.982
254	b	7.2	12.24	27.26	31.02
254	anti b	10.8	38.76	1.74	40.4905
255	Z 	85.36	3.36	60.97	139.034
255	anti Z	2.64	52.64	30.03	109.523
256	b	0.9	-96	67.32	117.33
256	anti b	8.1	-4	31.68	33.207
257	b	41.4	36.04	-20.16	58.6237
257	anti b	3.6	31.96	-51.84	61.1495
258	b	-4.2	-22.56	15.68	28.1057
258	anti b	-5.8	-1.44	82.32	82.6424
259	W 	-29.16	-8.14	-7.2	86.1937
259	anti W	-24.84	-28.86	-40.8	97.8545
260	Z 	42.5	8.25	-11.76	101.628
260	anti Z	7.5	16.75	-2.24	93.0454
261	b	-13.26	37.4	-21.6	45.372
261	anti b	-37.74	47.6	-18.4	63.609
262	b	-25.41	-14	3.9	29.5694
262	anti b	-51.59	-36	2.1	63.0826
263	b	-33.75	33	88.32	100.23
263	anti b	-41.25	42	7.68	59.5148
264	b	98.01	25.83	1.64	101.456
264	anti b	0.99	37.17	39.36	54.3072
265	b	-5.84	38.25	10.03	40.1901
265	anti b	-67.16	46.75	6.97	82.2319
266	W 	33.67	17.76	-74.48	116.006
266	anti W	3.33	19.24	-23.52	85.9965
267	b	2.55	-11.25	-15.58	19.8311
267	anti b	82.45	-3.75	-66.42	106.024
268	W 	-25.2	23.8	-2.94	87.5846
268	anti W	-34.8	10.2	-95.06	129.663
269	W 	42.14	0	-10.68	91.3826
269	anti W	55.86	12	-78.32	125.934
270	W 	-77.4	-18.87	-25.76	116.066
270	anti W	-12.6	-32.13	-30.24	92.5554
271	b	2.55	-49.64	21	54.1212
271	anti b	12.45	-23.36	14	30.2352
272	b	2.66	-57.95	11.96	59.3784
272	anti b	11.34	-3.05	34.04	36.2504
273	W 	-71.28	-59.63	21.58	124.753
273	anti W	-16.72	-7.37	4.42	82.5491
274	b	72.24	-64.4	-16.38	98.2433
274	anti b	11.76	-27.6	-74.62	80.5337
275	W 	6.72	27.69	18.56	87.2772
275	anti W	7.28	43.31	13.44	92.5761
276	b	-25.85	-0.08	61.1	66.4749
276	anti b	-21.15	-7.92	32.9	40.1239
277	b	10.36	43.07	-17.22	47.7112
277	anti b	63.64	15.93	-24.78	70.2519
278	b	-11.76	-8.51	0	15.106
278	anti b	-9.24	-28.49	75	80.8674
279	b	15.96	3.06	-12.07	20.6698
279	anti b	12.04	5.94	-4.93	14.9004
280	b	-67.94	-74.25	-2.25	100.754
280	anti b	-11.06	-0.75	-12.75	17.4046
281	b	-25.48	-2.3	41.8	49.1857
281	anti b	-26.52	-7.7	34.2	44.1556
282	b	53.12	-51.83	-27.54	79.2717
282	anti b	29.88	-19.17	-53.46	64.3098
283	b	30.08	-2.04	-11.9	32.681
283	anti b	33.92	-48.96	-22.1	63.6673
284	b	-31.85	6.09	23.18	40.0786
284	anti b	-17.15	0.91	37.82	41.7466
285	b	-45.5	-28.05	4.92	53.8399
285	anti b	-4.5	-4.95	36.08	36.9323
286	b	-2.2	-1.36	-60.03	60.2309
286	anti b	-19.8	-6.64	-26.97	34.3654
287	T 	-13.65	61.2	-5.6	62.9784
287	anti T	-1.35	6.8	-34.4	35.1365
288	b	15.48	-0.88	0	16.0586
288	anti b	2.52	-10.12	0	11.2355
289	b	-86	-29.07	-0.6	90.8785
289	anti b	-14	-21.93	-29.4	39.4811
290	b	-14	34.65	-21.56	43.3466
